"","Query Mass","Database Mass (neutral mass)","rt","Isotope","Adduct","Name","spectra","Biofluid","ENTRY","p.adj","p","Fisher.Test","Mean Class plasma","Mean Class plasma_ringer_palm","Median Class plasma","Median Class plasma_ringer_palm","plasma","plasma_ringer_palm","X1","X2","X3","X4","X5","X6","X7","X8"
"385",464.3582,"Unknown","6.83","","","Unknown","15","unknown","unknown",0.237600963775822,0.237600963775822,NA,3489069.15071966,2134386.96475912,2680184.82532837,2146853.6664961,4,2,2549953.73709124,2762035.69240742,6045953.21513067,2598333.95824932,3163341.60264546,2982973.85567379,1080498.92339882,1310733.47731841
"386",468.3893,"Unknown","6.78","","[M+NH4]+ 450.356","Unknown","15","unknown","unknown",0.90942262727532,0.90942262727532,NA,10126855.1020684,9749910.2391915,10818186.3737019,10356435.5886838,4,4,13742030.3781384,9661226.51254369,11975146.2348602,5129017.28273133,7267739.56253615,14525428.3157453,3761341.46365312,13445131.6148314
"387",473.3451,"Unknown","6.78","","[M+Na]+ 450.356","Unknown","15","unknown","unknown",0.650112000759464,0.650112000759464,NA,5835721.08616678,7340927.10094832,6013356.61014784,6984825.46145776,4,3,8544286.41180799,7130296.98832777,4896416.2319679,2771884.71256346,1215289.38125806,9260813.56279659,4708837.36011893,14178768.0996197
"388",546.3555,"545.348145","6.82","",""," LysoPC(20:3(5Z,8Z,11Z)) ","15","Blood","HMDB10393 ",0.529559457663337,0.529559457663337,NA,43061429.7663115,61504644.4794049,25846779.1817992,63241329.1609063,3,4,7516716.76660747,113035443.93504,13901491.3751787,37792066.9884197,53465062.3379149,87507490.1798095,73017595.9838976,32028429.4159975
"389",546.3555,"545.348145","6.82","",""," LysoPC(20:3(8Z,11Z,14Z)) ","15","Blood","HMDB10394 ",0.529559457663337,0.529559457663337,NA,43061429.7663115,61504644.4794049,25846779.1817992,63241329.1609063,3,4,7516716.76660747,113035443.93504,13901491.3751787,37792066.9884197,53465062.3379149,87507490.1798095,73017595.9838976,32028429.4159975
"390",450.3873,"Unknown","5.83","[99][M+1]+","","Unknown","1","unknown","unknown",0.832418917012191,0.832418917012191,NA,33593415.8175492,40270323.7250244,25329342.5269824,21804233.8565427,4,3,72180774.3238148,11534203.8924173,37577811.6480185,13080873.4059463,26300763.6197775,117287259.862993,17307704.0933079,185567.324019029
"391",570.458,"Unknown","6.86","[142][M]+","","Unknown","15","unknown","unknown",0.938580293232399,0.938580293232399,NA,24052860.3504911,24267156.7406711,25161677.4947212,24278930.5747616,4,4,27721760.4196034,23444805.4253674,26878549.564075,18166325.9929188,23789351.7479049,24768509.4016182,20537504.1071309,27973261.7060303
"392",571.46,"Unknown","6.86","[142][M+1]+","","Unknown","15","unknown","unknown",0.354500983725388,0.354500983725388,NA,5424374.92697069,6825598.18474929,5766248.86105524,6672511.5056291,3,4,2150559.27248291,6528233.24319073,8014442.71328936,5004264.47891975,6470833.84001627,6874189.17124192,5950395.60161947,8006974.1261195
"393",571.4635,"Unknown","6.86","","","Unknown","15","unknown","unknown",0.268053412455429,0.268053412455429,NA,3999872.17206553,6699975.4825297,3748289.90603623,6537107.77722347,2,4,8229094.27396836,6508781.5462293,987798.265843151,273814.602221289,6297547.72289057,6776667.83155637,5849138.2337428,7876548.14192907
"394",614.4841,"Unknown","6.85","","","Unknown","15","unknown","unknown",0.388199227307467,0.388199227307467,NA,20872204.7781043,16514264.5214968,21655978.8312038,19524724.0802581,4,3,23786751.3684343,20128155.2501133,23183802.4122942,16390110.0815754,4231866.82985313,19986010.6164622,19063437.5440541,22775743.0956177
"395",616.0755,"Unknown","6.79","","","Unknown","15","unknown","unknown",0.365730536422302,0.365730536422302,NA,1633056.13862003,1003303.34594747,1699505.6139565,653942.952089435,4,2,1194097.65519837,1939115.67136873,1611965.29107951,1787045.93683349,2618382.36204734,1100989.29539165,206896.608787217,86945.1175636704
"396",617.3936,"Unknown","6.79","[154][M]3+","","Unknown","15","unknown","unknown",0.00884662277878837,0.00884662277878837,NA,1758359.60570893,599946.268962222,1742000.92914196,558658.992183305,4,1,1604504.1359346,2337148.71292228,1212287.8516295,1879497.72234932,745475.468796442,281012.339538918,371842.515570168,1001454.75194336
"397",617.7284,"Unknown","6.79","[154][M+1]3+","","Unknown","15","unknown","unknown",0.0302209399782352,0.0302209399782352,NA,1458978.39105965,532957.624979079,1484975.80649866,403030.211200419,4,1,1450963.98289966,1518987.63009765,1300401.40334333,1565560.54789797,648858.072701506,1187468.87809887,157202.349699331,138301.199416603
"398",645.4273,"Unknown","6.78","","","Unknown","15","unknown","unknown",0.177316729123639,0.177316729123639,NA,1841348.80329314,731072.058778312,1720135.91428516,117362.36347362,4,1,1723625.32887305,2323977.03987959,1601146.34472263,1716646.49969728,2630045.11313578,141898.766343894,92825.9606033466,59518.3950302307
"399",654.2963,"Unknown","6.86","","","Unknown","15","unknown","unknown",0.538272758871168,0.538272758871168,NA,3195410.53659637,2403002.53912184,3238519.77801214,1760787.45392257,4,2,3935886.92824659,2003343.46929695,4301259.12106425,2541152.6277777,5283770.90452394,832176.975205978,806664.344118277,2689397.93263916
"400",658.5062,"Unknown","6.83","[158][M]+","[M+K]+ 619.546 [M+Na]+ 635.52 [M+NH4]+ 640.476 [M+H]+ 657.502","Unknown","15","unknown","unknown",0.864701365292671,0.864701365292671,NA,16651172.5650556,16863304.1514292,17157833.1373705,16797740.6627197,4,4,18372806.8516407,15942859.4231003,18507013.4562427,13782010.5292389,17558023.3005922,16299711.979685,16834218.2832612,16761263.0421782
"401",471.3668,"470.360748","5.84","","[2M+Na]+ 224.188"," TG(8:0/8:0/8:0) ","1","Not Available","HMDB11187 ",0.969424155501065,0.969424155501065,NA,200805160.717827,205096923.220336,186617408.05937,168438626.621204,4,3,334904558.122102,95081268.6304672,254418242.169857,118816573.948883,191896674.343451,455192108.987536,144980578.898958,28318330.6513982
"402",658.5087,"Unknown","6.83","","[M+K]+ 619.546 [M+Na]+ 635.52 [M+NH4]+ 640.476 [M+H]+ 657.502","Unknown","15","unknown","unknown",0.199526919381699,0.199526919381699,NA,16667024.3615814,10281061.0818907,17175813.4838015,10115356.7657327,4,2,18330361.7435649,16021265.2240381,18476016.4271972,13840454.0515256,17702187.3028362,16274836.9229455,3191343.49326127,3955876.60851987
"403",658.5139,"Unknown","6.83","","[M+K]+ 619.546 [M+Na]+ 635.52 [M+NH4]+ 640.476 [M+H]+ 657.502","Unknown","15","unknown","unknown",0.196703088558175,0.196703088558175,NA,10487689.2418839,16694169.4984247,10145055.158244,16660896.1837484,2,4,18024808.6727384,15848045.148196,4442065.16829196,3635837.97830919,17371891.1138621,16082994.5123399,16713732.1215561,16608060.2459407
"404",659.5126,"Unknown","6.83","[158][M+1]+","","Unknown","15","unknown","unknown",0.558496552618551,0.558496552618551,NA,5250885.03675364,5467234.26197652,5317428.63915501,5456290.03208554,4,4,5629317.49867476,5005539.77963526,5679618.68785559,4689064.18084894,6082040.76614378,4874316.21759124,5330438.64456099,5582141.41961009
"405",702.5336,"Unknown","6.82","","","Unknown","15","unknown","unknown",0.373045948109216,0.373045948109216,NA,10321352.4501207,13924636.1883558,12211740.4901638,13891424.7240524,3,4,12497322.7774002,11926158.2029273,16430016.4134494,431912.406705873,14015070.326633,13767779.1214718,14727101.0295175,13188594.275801
"406",716.473,"Unknown","6.86","","[M+NH4]+ 698.444","Unknown","15","unknown","unknown",0.614232671889216,0.614232671889216,NA,12806718.6170238,15214561.7268732,16329186.3277322,14685708.3108083,3,4,15989647.9941393,16668724.6613251,1137955.24106714,17430546.5715636,21009220.6565481,14808240.5212085,14563176.1004082,10477609.6293282
"407",716.9868,"Unknown","6.86","","","Unknown","15","unknown","unknown",0.643480587448209,0.643480587448209,NA,9566634.77452159,7983143.86101401,11422580.7155579,9507756.08363404,4,3,10996672.3027382,11851463.163358,3569914.50361248,11848489.1283776,989335.285511145,11577799.6815234,11927727.9912768,7437712.48574471
"408",718.955,"Unknown","6.86","[163][M]2+","","Unknown","15","unknown","unknown",0.733099168943752,0.733099168943752,NA,7631444.85487134,8311340.26122931,8736955.32031664,8116780.44269224,4,4,8629926.19219501,10052897.6964657,2998971.08238637,8843984.44843826,11044838.8713255,8085406.84983495,8148154.03554953,5966961.28820728
"409",718.962,"Unknown","6.86","","","Unknown","15","unknown","unknown",0.370375288958047,0.370375288958047,NA,5757318.56811387,7946184.72641801,5617046.88971366,7771123.82143795,3,4,8471562.68262779,9771323.35214507,2762531.09679954,2023857.14088309,10499039.8105237,7737766.13239718,7804481.51047873,5743451.45227241
"410",719.4593,"Unknown","6.86","[163][M+1]2+","","Unknown","15","unknown","unknown",0.826588932650327,0.826588932650327,NA,5428015.87959591,5003761.9406621,6332654.51922273,5155804.68439662,4,3,5801250.73883432,6864058.29961114,2135009.60847734,6911744.87146083,8353020.73677629,1350417.65707889,5914209.09482635,4397400.27396689
"411",721.4372,"Unknown","6.84","","[M+Na]+ 698.444","Unknown","15","unknown","unknown",0.247920646359046,0.247920646359046,NA,1349565.84994809,2217271.3106229,1364151.98787923,2064596.57820866,2,4,785373.087501242,1942930.88825722,168121.009640365,2501838.41439355,3297693.35064704,1719904.47144678,2409288.68497053,1442198.73542725
